campaign_id,campaign_name,order,url,total_clicks,unique_clicks,click_percentage,unique_click_percentage
65a1761a1e,DP Daybreak 05/02/2024,4,http://dominos.com,14,9,0.004924375659514597,0.006032171581769437
8c07415d4e,DP Daybreak Graduation (5/17/2024),1,https://www.classy.org/give/506065/#!/donation/checkout,20,14,0.006435006435006435,0.00855222968845449
8c07415d4e,DP Daybreak Graduation (5/17/2024),2,https://www.classy.org/give/558150#!/donation/checkout,15,10,0.004826254826254826,0.006108735491753207
8c07415d4e,DP Daybreak Graduation (5/17/2024),3,https://www.balfour.com/upenn,11,8,0.0035392535392535394,0.004886988393402566
8c07415d4e,DP Daybreak Graduation (5/17/2024),4,https://www.acmemarkets.com/,15,10,0.004826254826254826,0.006108735491753207
8c07415d4e,DP Daybreak Graduation (5/17/2024),5,https://www.shopsatpenn.com/,13,9,0.004182754182754183,0.005497861942577886
8c07415d4e,DP Daybreak Graduation (5/17/2024),6,http://dominos.com/,9,7,0.0028957528957528956,0.004276114844227245
45d289d6e0,DP Daybreak 05/23/2024,1,https://universityrealtyapartments.com/,16,11,0.006493506493506494,0.008160237388724036
45d289d6e0,DP Daybreak 05/23/2024,2,https://urldefense.com/v3/__https://theDP.us2.list-manage.com/profile?u=a96885e3aa3f8131c872ee329&id=370b4800ba&e=c4aba4b8cf&c=9d753de4bf__;!!IBzWLUs!XxTF9ey3R72F7TLVx-ey5uC4NFcVE90P23EYvajAQ0Du5v48Jbwp0gvg_x1a-YwmAj64Bv4wJtNHkXVe1cledMY$,4,4,0.0016233766233766235,0.002967359050445104
45d289d6e0,DP Daybreak 05/23/2024,3,https://urldefense.com/v3/__https://theDP.us2.list-manage.com/unsubscribe?u=a96885e3aa3f8131c872ee329&id=370b4800ba&e=c4aba4b8cf&c=9d753de4bf__;!!IBzWLUs!XxTF9ey3R72F7TLVx-ey5uC4NFcVE90P23EYvajAQ0Du5v48Jbwp0gvg_x1a-YwmAj64Bv4wJtNHkXVeCfVR-pw$,42,16,0.017045454545454544,0.011869436201780416
8b9c96b39c,DP Daybreak 05/30/2024,1,https://universityrealtyapartments.com/,18,13,0.006367173682348779,0.009021512838306732
76ec13efaa,DP Daybreak 06/06/2024,1,https://www.shopsatpenn.com/,127,70,0.05434317501069748,0.056134723336006415
76ec13efaa,DP Daybreak 06/06/2024,2,https://www.acmemarkets.com/,6,5,0.0025673940949935813,0.00400962309542903
76ec13efaa,DP Daybreak 06/06/2024,3,https://universityrealtyapartments.com/,4,4,0.0017115960633290544,0.0032076984763432237
76ec13efaa,DP Daybreak 06/06/2024,4,http://dominos.com/,4,4,0.0017115960633290544,0.0032076984763432237
65760403f8,DP Daybreak 06/13/2024,1,https://www.acmemarkets.com/,35,24,0.014107214832728738,0.019339242546333603
65760403f8,DP Daybreak 06/13/2024,2,https://universityrealtyapartments.com/,23,14,0.009270455461507456,0.011281224818694601
65760403f8,DP Daybreak 06/13/2024,3,https://www.shopsatpenn.com/,15,10,0.006045949214026602,0.008058017727639
65760403f8,DP Daybreak 06/13/2024,4,http://dominos.com/,34,19,0.013704151551793631,0.015310233682514102
d2af6d44dd,DP Daybreak 06/20/2024,1,https://universityrealtyapartments.com/,18,15,0.0081374321880651,0.012942191544434857
d2af6d44dd,DP Daybreak 06/20/2024,2,https://www.shopsatpenn.com/,9,6,0.00406871609403255,0.005176876617773943
d2af6d44dd,DP Daybreak 06/20/2024,3,https://www.acmemarkets.com/,5,5,0.0022603978300180833,0.004314063848144953
d2af6d44dd,DP Daybreak 06/20/2024,4,http://dominos.com/,4,4,0.0018083182640144665,0.003451251078515962
d9d4774514,DP Daybreak 06/27/2024,1,https://universityrealtyapartments.com/,48,29,0.02040816326530612,0.024369747899159664
